fecha;nombre_tienda;factor;metodo_pago_limpio;moneda;total_transacciones;total_monto_sistema;MONTO SISTEMA USD;total_monto_auditado;MONTO AUDITADO USD
1/7/2026;[ BCN ] - BARCELONA;633,3644;PUNTO DE VENTA;VES;6;17.734,20;28;49.244,33;77,75
1/7/2026;[ BCO ] - BOCONO;633,3644;PUNTO DE VENTA;VES;4;13.300,72;21;13.300,72;21
1/7/2026;[ BCO ] - BOCONO;633,3644;PUNTO DE VENTA;VES;31;580.161,41;916;580.161,41;916
1/7/2026;[ BNS ] - BARINAS SHOP;633,3644;PUNTO DE VENTA;VES;41;514.380,46;812,14;514.380,46;812,14
1/7/2026;[ BRC ] - BARRANCAS;633,3644;PAGO MOVIL;VES;1;9.500,40;15;9.500,40;15
1/7/2026;[ BTA ] - BARUTA;633,3644;EFECTIVO BS;VES;1;8.434,51;13,32;0;0
1/7/2026;[ BVC ] - BAZAR VALENCIA CANGURO;633,3644;BIOPAGO;VES;5;139.737,29;220,63;139.737,26;220,63
1/7/2026;[ BVC ] - BAZAR VALENCIA CANGURO;633,3644;EFECTIVO BS;VES;4;6.333,71;10;6.370,00;10,06
1/7/2026;[ BZC ] - BAZAR 4;633,3644;EFECTIVO BS;VES;2;5.700,34;9;5.700,00;9
1/7/2026;[ BZC ] - BAZAR 4;633,3644;PAGO MOVIL;VES;1;5.066,98;8;5.066,98;8
1/7/2026;[ BZD ] - BAZAR 2;633,3644;PAGO MOVIL;VES;5;61.816,43;97,6;61.817,47;97,6
1/7/2026;[ CAG ] - CAGUA;633,3644;PUNTO DE VENTA;VES;22;256.943,40;405,68;256.943,41;405,68
1/7/2026;[ CBM ] - CABIMAS;633,3644;PUNTO DE VENTA;VES;3;8.867,16;14;8.867,16;14
1/7/2026;[ CBQ ] - CHABASQUEN;633,3644;PAGO MOVIL;VES;1;2.533,46;4;2.533,46;4
1/7/2026;[ CBR ] - CABUDARE;633,3644;PUNTO DE VENTA;VES;32;216.363,93;341,61;216.363,90;341,61
1/7/2026;[ CBV ] - CIUDAD BOLIVAR;633,3644;PAGO MOVIL;VES;3;15.517,62;24,5;15.517,62;24,5
1/7/2026;[ CCM ] - CENTRO COMERCIAL METROCENTER;633,3644;PUNTO DE VENTA;VES;39;485.358,60;766,32;491.632,22;776,22
1/7/2026;[ CCO ] - CAICARA DEL ORINOCO;633,3644;EFECTIVO BS;VES;11;28.545,80;45,07;19.380,00;30,6
1/7/2026;[ CCT ] - CC CIUDAD TAMANACO;633,3644;BIOPAGO;VES;2;29.134,83;46;48.135,60;76
1/7/2026;[ CDL ] - LA CANDELARIA;633,3644;PUNTO DE VENTA;VES;14;96.904,88;153;96.904,88;153
1/7/2026;[ ADS - TCY ] - AEDOS TOCUYITO;633,3644;PUNTO DE VENTA;VES;23;34.689,37;54,77;34.689,37;54,77
1/7/2026;[ AVM ] - AVENIDA MARINO;633,3644;PAGO MOVIL;VES;2;64.603,17;102;64.603,18;102
1/7/2026;[ AVM ] - AVENIDA MARINO;633,3644;PUNTO DE VENTA;VES;14;541.963,58;855,69;541.963,56;855,69
1/7/2026;[ BAC ] - BUENOS AIRES CANGURO;633,3644;PUNTO DE VENTA;VES;13;46.962,30;74,15;46.962,33;74,15
1/7/2026;[ BAC ] - BUENOS AIRES CANGURO;633,3644;PUNTO DE VENTA;VES;1;20.140,99;31,8;20.140,99;31,8
1/7/2026;[ BCN ] - BARCELONA;633,3644;BIOPAGO;VES;17;210.403,72;332,2;210.403,71;332,2
1/7/2026;[ BCO ] - BOCONO;633,3644;PUNTO DE VENTA;VES;4;31.034,86;49;31.034,86;49
1/7/2026;[ BVC ] - BAZAR VALENCIA CANGURO;633,3644;PAGO MOVIL;VES;2;36.355,24;57,4;36.417,00;57,5
1/7/2026;[ BZD ] - BAZAR 2;633,3644;PUNTO DE VENTA;VES;9;192.727,40;304,29;192.727,41;304,29
1/7/2026;[ BZT ] - BAZAR 3;633,3644;PUNTO DE VENTA;VES;2;29.261,44;46,2;29.261,43;46,2
1/7/2026;[ CAG ] - CAGUA;633,3644;PUNTO DE VENTA;VES;8;43.075,18;68,01;43.075,17;68,01
1/7/2026;[ CBR ] - CABUDARE;633,3644;PUNTO DE VENTA;VES;1;5.066,98;8;5.066,98;8
1/7/2026;[ CBV ] - CIUDAD BOLIVAR;633,3644;PUNTO DE VENTA;VES;41;267.787,42;422,8;267.787,42;422,8
1/7/2026;[ CCB ] - CALLE CAMEJO BARINAS;633,3644;BIOPAGO;VES;6;74.357,11;117,4;74.357,10;117,4
1/7/2026;[ CCO ] - CAICARA DEL ORINOCO;633,3644;BIOPAGO;VES;4;21.344,44;33,7;21.344,45;33,7
1/7/2026;[ CDL ] - LA CANDELARIA;633,3644;PUNTO DE VENTA;VES;62;679.151,20;1.072,29;679.151,20;1.072,29
1/7/2026;[ CHI ] - CHIVACOA;633,3644;EFECTIVO BS;VES;1;166,76;0,26;200;0,32
